fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-03-08,WN,WN,WN,1094,WN,N7850B,1094,14683,SAT,"San Antonio, TX",11259,DAL,"Dallas, TX",1125,1128,3,5,1133,1223,3,1230,1226,-4,0,,0,N,65,58,50,1,248,,,,,,,,,
2018-03-08,WN,WN,WN,1302,WN,N255WN,1302,14683,SAT,"San Antonio, TX",11259,DAL,"Dallas, TX",1640,1644,4,13,1657,1745,3,1745,1748,3,0,,0,N,65,64,48,1,248,,,,,,,,,
2018-03-08,WN,WN,WN,1802,WN,N778SW,1802,14683,SAT,"San Antonio, TX",11259,DAL,"Dallas, TX",700,706,6,8,714,802,4,810,806,-4,0,,0,N,70,60,48,1,248,,,,,,,,,
2018-03-08,WN,WN,WN,1851,WN,N935WN,1851,14683,SAT,"San Antonio, TX",11259,DAL,"Dallas, TX",2130,2235,65,7,2242,2322,5,2230,2327,57,0,,0,N,60,52,40,1,248,57,0,0,0,0,,,,
2018-03-08,WN,WN,WN,2022,WN,N724SW,2022,14683,SAT,"San Antonio, TX",11259,DAL,"Dallas, TX",845,852,7,10,902,945,4,950,949,-1,0,,0,N,65,57,43,1,248,,,,,,,,,
2018-03-08,WN,WN,WN,2061,WN,N901WN,2061,14683,SAT,"San Antonio, TX",11259,DAL,"Dallas, TX",540,538,-2,7,545,629,3,645,632,-13,0,,0,N,65,54,44,1,248,,,,,,,,,
2018-03-08,WN,WN,WN,2076,WN,N758SW,2076,14683,SAT,"San Antonio, TX",11259,DAL,"Dallas, TX",1500,1500,0,6,1506,1554,3,1605,1557,-8,0,,0,N,65,57,48,1,248,,,,,,,,,
2018-03-08,WN,WN,WN,6390,WN,N7832A,6390,14683,SAT,"San Antonio, TX",11259,DAL,"Dallas, TX",1215,1230,15,7,1237,1323,3,1320,1326,6,0,,0,N,65,56,46,1,248,,,,,,,,,
2018-03-08,WN,WN,WN,426,WN,N8650F,426,14683,SAT,"San Antonio, TX",11292,DEN,"Denver, CO",2015,2015,0,12,2027,2130,7,2130,2137,7,0,,0,N,135,142,123,1,794,,,,,,,,,
2018-03-08,WN,WN,WN,883,WN,N8557Q,883,14683,SAT,"San Antonio, TX",11292,DEN,"Denver, CO",550,549,-1,7,556,657,7,705,704,-1,0,,0,N,135,135,121,1,794,,,,,,,,,
2018-03-08,WN,WN,WN,1708,WN,N954WN,1708,14683,SAT,"San Antonio, TX",11292,DEN,"Denver, CO",1550,1604,14,9,1613,1709,12,1705,1721,16,0,,0,N,135,137,116,1,794,10,0,2,0,4,,,,
2018-03-08,WN,WN,WN,927,WN,N482WN,927,14683,SAT,"San Antonio, TX",11540,ELP,"El Paso, TX",1155,1155,0,7,1202,1217,3,1230,1220,-10,0,,0,N,95,85,75,1,496,,,,,,,,,
2018-03-08,WN,WN,WN,1755,WN,N490WN,1755,14683,SAT,"San Antonio, TX",11540,ELP,"El Paso, TX",2120,2132,12,11,2143,2200,3,2150,2203,13,0,,0,N,90,91,77,1,496,,,,,,,,,
2018-03-08,WN,WN,WN,117,WN,N477WN,117,14683,SAT,"San Antonio, TX",12191,HOU,"Houston, TX",850,849,-1,11,900,934,2,945,936,-9,0,,0,N,55,47,34,1,192,,,,,,,,,
2018-03-08,WN,WN,WN,513,WN,N7841A,513,14683,SAT,"San Antonio, TX",12191,HOU,"Houston, TX",1240,1239,-1,8,1247,1318,6,1335,1324,-11,0,,0,N,55,45,31,1,192,,,,,,,,,
2018-03-08,WN,WN,WN,1079,WN,N7723E,1079,14683,SAT,"San Antonio, TX",12191,HOU,"Houston, TX",635,633,-2,7,640,712,4,730,716,-14,0,,0,N,55,43,32,1,192,,,,,,,,,
2018-03-08,WN,WN,WN,1299,WN,N962WN,1299,14683,SAT,"San Antonio, TX",12191,HOU,"Houston, TX",1810,1816,6,18,1834,1907,4,1905,1911,6,0,,0,N,55,55,33,1,192,,,,,,,,,
2018-03-08,WN,WN,WN,5893,WN,N712SW,5893,14683,SAT,"San Antonio, TX",12191,HOU,"Houston, TX",1530,1546,16,31,1617,1658,5,1625,1703,38,0,,0,N,55,77,41,1,192,16,0,22,0,0,,,,
2018-03-08,WN,WN,WN,207,WN,N467WN,207,14683,SAT,"San Antonio, TX",12889,LAS,"Las Vegas, NV",1040,1039,-1,7,1046,1128,4,1135,1132,-3,0,,0,N,175,173,162,1,1069,,,,,,,,,
2018-03-08,WN,WN,WN,424,WN,N729SW,424,14683,SAT,"San Antonio, TX",12889,LAS,"Las Vegas, NV",2110,2116,6,8,2124,2200,3,2205,2203,-2,0,,0,N,175,167,156,1,1069,,,,,,,,,
2018-03-08,WN,WN,WN,1585,WN,N8514F,1585,14683,SAT,"San Antonio, TX",12889,LAS,"Las Vegas, NV",1650,1650,0,10,1700,1751,5,1745,1756,11,0,,0,N,175,186,171,1,1069,,,,,,,,,
2018-03-08,WN,WN,WN,1652,WN,N766SW,1652,14683,SAT,"San Antonio, TX",12889,LAS,"Las Vegas, NV",1420,1421,1,12,1433,1516,6,1515,1522,7,0,,0,N,175,181,163,1,1069,,,,,,,,,
