origin,mean_arr_delay_orig_airport
ABE,0.46153846153846156
ABI,18.0
ABQ,3.342857142857143
ABY,-15.0
ACK,-19.0
ACT,-7.0
ACV,-1.0
ACY,-12.25
ADQ,25.5
AEX,-12.0
AGS,45.0
ALB,1.8
AMA,-13.0
ANC,-11.703703703703704
APN,-5.0
ASE,7.538461538461538
ATL,2.3117647058823527
ATW,-4.0
AUS,6.6125
AVL,5.0
AVP,-4.25
AZA,10.5
AZO,-7.333333333333333
BDL,13.16
BFL,-16.5
BGR,32.0
BHM,-3.32
BIL,-8.5
BIS,23.25
BLI,-3.5
BLV,-7.0
BMI,-11.333333333333334
BNA,2.4909090909090907
BOI,-6.206896551724138
BOS,8.71359223300971
BPT,42.5
BQN,1.5
BRO,-2.5
BRW,-24.5
BTM,84.0
BTR,5.818181818181818
BTV,-0.4166666666666667
BUF,2.8823529411764706
BUR,-3.3
BWI,0.2987012987012987
BZN,-13.571428571428571
CAE,-7.090909090909091
CAK,40.0
CDC,-25.0
CDV,-6.0
CGI,0.0
CHA,-0.6666666666666666
CHO,5.375
CHS,-0.6923076923076923
CID,4.0
CIU,17.0
CKB,-7.0
CLE,6.1525423728813555
CLL,-27.0
CLT,6.201438848920863
CMH,2.0307692307692307
CMI,-3.25
CMX,-26.0
CNY,-11.0
COD,-5.0
COS,1.5625
COU,16.11111111111111
CPR,106.0
CRP,-6.0
CRW,6.0
CSG,-10.0
CVG,2.140625
CWA,-0.16666666666666666
DAB,53.0
DAL,9.616279069767442
DAY,6.809523809523809
DBQ,-5.0
DCA,3.246987951807229
DEN,10.992424242424242
DFW,7.569148936170213
DHN,-8.0
DIK,-12.0
DLH,9.0
DRO,-6.875
DSM,23.321428571428573
DTW,11.366071428571429
DUT,-2.0
EAT,-0.5
EAU,3.0
ECP,11.166666666666666
EKO,-16.0
ELM,15.0
ELP,-3.608695652173913
ERI,34.666666666666664
ESC,-8.0
EUG,2.1818181818181817
EVV,-10.666666666666666
EWN,-14.0
EWR,12.975961538461538
EYW,1.0
FAI,-3.7142857142857144
FAR,5.0
FAT,-6.142857142857143
FAY,21.25
FCA,3.4
FLL,3.2672413793103448
FNT,-5.375
FSD,34.06666666666667
FSM,45.0
FWA,-7.0
GCC,30.0
GCK,-10.0
GEG,6.45
GFK,-3.0
GGG,2.0
GJT,-8.0
GNV,9.818181818181818
GPT,6.285714285714286
GRB,24.142857142857142
GRI,-10.5
GRK,14.2
GRR,8.838709677419354
GSO,13.333333333333334
GSP,-3.6875
GTF,2.75
GTR,-1.0
GUM,-6.0
HDN,-10.75
HHH,5.0
HLN,14.333333333333334
HNL,-2.4029850746268657
HOB,7.0
HOU,3.1911764705882355
HPN,3.1333333333333333
HRL,-6.333333333333333
HSV,8.142857142857142
HTS,6.0
HVN,14.666666666666666
HYS,-9.0
IAD,22.07547169811321
IAG,-32.0
IAH,4.889952153110048
ICT,24.75
IDA,63.5
ILM,19.5
IND,12.816901408450704
INL,-36.0
ISN,-7.2
ISP,1.8571428571428572
ITH,-7.0
ITO,-5.5
JAC,2.4285714285714284
JAN,-7.5625
JAX,9.53191489361702
JFK,4.371621621621622
JHM,-7.5
JLN,-7.0
JNU,-7.333333333333333
KOA,7.588235294117647
KTN,-26.0
LAN,-22.0
LAS,5.15566037735849
LAW,-1.6666666666666667
LAX,-0.7631578947368421
LBB,0.3333333333333333
LBE,-30.0
LBF,-23.5
LCH,36.666666666666664
LCK,6.333333333333333
LEX,1.0833333333333333
LFT,8.625
LGA,8.6875
LGB,-2.6315789473684212
LIH,-0.6428571428571429
LIT,-6.0
LNK,23.2
