crs_dep_time,dep_time,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,dep_time_of_day,arr_time_of_day,mean_arr_delay_orig_airport,mean_arr_delay_dest_airport,mean_arr_delay_carrier,year,month,day,orig_weather_categ_empty,orig_weather_categ_no weather data,orig_weather_categ_rain,orig_weather_categ_snow,orig_weather_categ_snow & rain,orig_weather_categ_sunny,dest_weather_categ_empty,dest_weather_categ_no weather data,dest_weather_categ_rain,dest_weather_categ_snow,dest_weather_categ_snow & rain,dest_weather_categ_sunny
801,755.0,12.0,807.0,827.0,6.0,850,833.0,0.0,0.0,109.0,98.0,80.0,1.0,533.0,0,0,-1.6527777777777777,8.167138810198301,8.433741351782864,2018,12,16,0,0,0,0,0,1,0,0,0,0,0,1
610,604.0,17.0,621.0,821.0,14.0,847,835.0,0.0,0.0,97.0,91.0,60.0,1.0,350.0,0,0,-3.32,0.8680555555555556,5.238848337388483,2019,7,9,0,0,0,0,0,1,0,0,1,0,0,0
855,856.0,19.0,915.0,1030.0,3.0,1049,1033.0,0.0,0.0,114.0,97.0,75.0,1.0,489.0,0,0,8.076190476190476,6.257575757575758,3.8926503340757237,2019,5,5,0,0,1,0,0,0,0,0,0,0,0,1
1300,0.0,0.0,0.0,0.0,0.0,1650,0.0,1.0,0.0,170.0,0.0,0.0,1.0,1120.0,1,1,8.890721649484536,3.2093023255813953,5.238848337388483,2019,1,31,0,0,0,1,0,0,0,0,0,0,0,0
1210,1204.0,21.0,1225.0,1305.0,4.0,1320,1309.0,0.0,0.0,70.0,65.0,40.0,1.0,207.0,1,1,11.520361990950226,4.2,3.8926503340757237,2019,11,26,0,0,0,0,0,0,0,0,1,0,0,0
845,837.0,9.0,846.0,854.0,10.0,915,904.0,0.0,0.0,90.0,87.0,68.0,1.0,420.0,0,0,24.75,8.167138810198301,8.433741351782864,2018,8,19,0,0,1,0,0,0,0,0,1,0,0,0
620,611.0,10.0,621.0,719.0,6.0,744,725.0,0.0,0.0,84.0,74.0,58.0,1.0,402.0,0,0,20.25,-0.5247524752475248,5.238848337388483,2018,3,5,0,0,0,0,0,1,0,0,0,0,0,1
1835,1833.0,8.0,1841.0,2103.0,3.0,2120,2106.0,0.0,0.0,105.0,93.0,82.0,1.0,612.0,2,2,2.5849056603773586,0.3263157894736842,4.019512195121951,2018,10,1,0,0,1,0,0,0,0,0,0,0,0,1
1120,1131.0,16.0,1147.0,1247.0,16.0,1249,1303.0,0.0,0.0,89.0,92.0,60.0,1.0,313.0,0,1,30.0,8.167138810198301,8.433741351782864,2019,3,3,0,0,0,0,0,1,0,0,0,1,0,0
2135,2142.0,15.0,2157.0,15.0,11.0,20,26.0,0.0,0.0,105.0,104.0,78.0,1.0,584.0,3,2,6.035398230088496,0.8680555555555556,4.019512195121951,2019,8,15,0,0,0,0,0,1,0,0,1,0,0,0
705,702.0,28.0,730.0,742.0,8.0,756,750.0,0.0,0.0,111.0,108.0,72.0,1.0,408.0,0,0,9.133333333333333,5.509433962264151,3.8926503340757237,2018,2,21,0,0,1,0,0,0,0,0,0,0,0,1
1242,1239.0,22.0,1301.0,1333.0,11.0,1340,1344.0,0.0,0.0,58.0,65.0,32.0,1.0,141.0,1,1,-10.75,8.167138810198301,8.433741351782864,2018,7,31,0,0,0,0,0,1,0,0,0,0,0,1
1335,1336.0,16.0,1352.0,1520.0,5.0,1526,1525.0,0.0,0.0,111.0,109.0,88.0,1.0,524.0,1,1,11.076335877862595,-5.125,8.433741351782864,2019,4,13,0,0,0,0,0,0,0,0,0,0,0,0
1123,1212.0,10.0,1222.0,1305.0,10.0,1250,1315.0,0.0,0.0,87.0,63.0,43.0,1.0,236.0,0,1,5.229665071770335,12.79734219269103,8.433741351782864,2019,4,2,0,0,0,0,0,0,0,0,0,0,0,1
1830,1839.0,11.0,1850.0,1942.0,12.0,2000,1954.0,0.0,0.0,150.0,135.0,112.0,1.0,773.0,2,3,8.625,6.559837728194726,8.433741351782864,2018,9,26,0,0,0,0,0,1,0,0,0,0,0,0
1310,1427.0,10.0,1437.0,1557.0,5.0,1457,1602.0,0.0,0.0,107.0,95.0,80.0,1.0,561.0,1,1,7.691891891891892,65.0,5.238848337388483,2018,2,15,0,0,0,0,0,0,0,0,0,0,0,0
1355,1347.0,14.0,1401.0,1441.0,8.0,1453,1449.0,0.0,0.0,118.0,122.0,100.0,1.0,522.0,1,1,-6.206896551724138,5.244131455399061,8.433741351782864,2018,3,24,0,0,0,0,0,1,0,0,1,0,0,0
2224,2221.0,19.0,2240.0,2336.0,4.0,2353,2340.0,0.0,0.0,89.0,79.0,56.0,1.0,373.0,3,2,2.3300395256916997,24.59016393442623,3.8926503340757237,2019,6,25,0,0,0,0,0,1,0,0,0,0,0,1
1320,1356.0,15.0,1411.0,1626.0,3.0,1605,1629.0,0.0,0.0,105.0,93.0,75.0,1.0,546.0,1,1,6.45,-2.1129943502824857,3.8926503340757237,2019,5,9,0,0,0,0,0,1,0,0,0,0,0,1
1820,1833.0,23.0,1856.0,1930.0,4.0,1920,1934.0,0.0,0.0,60.0,61.0,34.0,1.0,88.0,2,3,6.291970802919708,-4.357142857142857,5.238848337388483,2018,11,14,0,0,1,0,0,0,0,0,1,0,0,0
1650,1649.0,10.0,1659.0,1807.0,8.0,1820,1815.0,0.0,0.0,90.0,86.0,68.0,1.0,369.0,1,3,0.3026315789473684,5.153846153846154,4.019512195121951,2018,10,14,0,0,1,0,0,0,0,0,0,0,0,1
845,944.0,18.0,1002.0,1443.0,2.0,1401,1445.0,0.0,0.0,196.0,181.0,161.0,1.0,1264.0,0,1,3.445026178010471,6.486486486486487,5.238848337388483,2018,6,11,0,0,0,0,0,1,0,0,1,0,0,0
600,553.0,29.0,622.0,1151.0,9.0,1155,1200.0,0.0,0.0,235.0,247.0,209.0,1.0,1660.0,0,0,3.3803418803418803,6.182608695652174,10.057142857142857,2019,5,6,0,0,0,0,0,1,0,0,0,0,0,1
700,654.0,20.0,714.0,745.0,5.0,758,750.0,0.0,0.0,58.0,56.0,31.0,1.0,143.0,0,0,45.0,-0.040169133192389,3.8926503340757237,2018,6,3,0,0,0,0,0,1,0,0,0,0,0,1
1420,1418.0,12.0,1430.0,1457.0,5.0,1510,1502.0,0.0,0.0,50.0,44.0,27.0,1.0,93.0,1,1,3.3803418803418803,-3.888888888888889,0.2513274336283186,2019,5,22,0,0,0,0,0,0,0,0,0,0,0,1
2009,2130.0,16.0,2146.0,2230.0,4.0,2120,2234.0,0.0,0.0,71.0,64.0,44.0,1.0,258.0,2,2,8.890721649484536,8.241379310344827,5.238848337388483,2018,4,16,0,0,0,0,0,0,0,0,0,0,0,0
530,530.0,11.0,541.0,635.0,8.0,654,643.0,0.0,0.0,84.0,73.0,54.0,1.0,282.0,0,0,-9.75,0.8680555555555556,5.238848337388483,2018,3,29,0,0,0,0,0,1,0,0,0,0,0,0
1845,1857.0,16.0,1913.0,2134.0,6.0,2130,2140.0,0.0,0.0,105.0,103.0,81.0,1.0,628.0,2,2,5.229665071770335,8.167138810198301,4.019512195121951,2019,5,18,0,0,0,0,0,1,0,0,0,0,0,1
600,557.0,13.0,610.0,647.0,5.0,726,652.0,0.0,0.0,206.0,175.0,157.0,1.0,1235.0,0,0,7.691891891891892,12.79734219269103,5.238848337388483,2019,11,13,0,0,0,0,0,1,0,0,0,0,0,1
1330,1328.0,31.0,1359.0,1434.0,5.0,1440,1439.0,0.0,0.0,70.0,71.0,35.0,1.0,187.0,1,1,4.462068965517242,5.153846153846154,12.448753462603879,2019,1,31,0,0,0,0,0,1,0,0,0,0,0,1
1935,2013.0,20.0,2033.0,2137.0,8.0,2111,2145.0,0.0,0.0,96.0,92.0,64.0,1.0,404.0,2,2,20.952662721893493,-0.040169133192389,3.8926503340757237,2019,5,13,0,0,1,0,0,0,0,0,0,0,0,1
1631,1628.0,9.0,1637.0,1731.0,5.0,1756,1736.0,0.0,0.0,85.0,68.0,54.0,1.0,364.0,1,3,7.691891891891892,-5.454545454545454,5.238848337388483,2019,10,26,0,0,0,0,0,1,0,0,1,0,0,0
1219,1211.0,9.0,1220.0,1319.0,16.0,1339,1335.0,0.0,0.0,80.0,84.0,59.0,1.0,304.0,1,1,-6.0,6.182608695652174,5.238848337388483,2019,2,13,0,0,0,0,0,1,0,0,0,0,0,1
1907,1856.0,12.0,1908.0,2011.0,4.0,2038,2015.0,0.0,0.0,91.0,79.0,63.0,1.0,455.0,2,3,11.076335877862595,3.0,8.433741351782864,2019,9,9,0,0,0,0,0,1,0,0,1,0,0,0
1355,1352.0,18.0,1410.0,1540.0,3.0,1610,1543.0,0.0,0.0,135.0,111.0,90.0,1.0,679.0,1,1,3.3803418803418803,5.244131455399061,0.2513274336283186,2019,4,12,0,0,1,0,0,0,0,0,0,0,0,1
1526,1519.0,13.0,1532.0,1625.0,5.0,1656,1630.0,0.0,0.0,90.0,71.0,53.0,1.0,290.0,1,1,-2.4444444444444446,0.8680555555555556,5.238848337388483,2019,11,29,0,0,0,0,0,1,0,0,0,0,0,1
1435,1437.0,21.0,1458.0,1528.0,18.0,1533,1546.0,0.0,0.0,58.0,69.0,30.0,1.0,157.0,1,1,6.291970802919708,-4.086956521739131,5.238848337388483,2019,5,23,0,0,0,0,0,0,0,0,0,0,0,1
940,953.0,19.0,1012.0,1137.0,7.0,1135,1144.0,0.0,0.0,235.0,231.0,205.0,1.0,1590.0,0,0,2.3300395256916997,-2.1129943502824857,3.8926503340757237,2019,8,6,0,0,0,0,0,0,0,0,0,0,0,1
1809,1855.0,25.0,1920.0,2008.0,16.0,1944,2024.0,0.0,0.0,95.0,89.0,48.0,1.0,280.0,2,3,13.978378378378379,5.153846153846154,5.238848337388483,2018,3,23,0,0,0,0,0,0,0,0,0,0,0,0
905,904.0,17.0,921.0,1504.0,4.0,1521,1508.0,0.0,0.0,256.0,244.0,223.0,1.0,1874.0,0,1,3.3803418803418803,1.1483253588516746,8.433741351782864,2018,8,9,0,0,0,0,0,1,0,0,1,0,0,0
1200,1156.0,39.0,1235.0,1441.0,23.0,1434,1504.0,0.0,0.0,154.0,188.0,126.0,1.0,925.0,1,1,5.0594059405940595,6.559837728194726,8.433741351782864,2019,12,2,0,0,0,0,0,1,0,0,0,0,0,0
1243,1236.0,31.0,1307.0,1408.0,13.0,1430,1421.0,0.0,0.0,167.0,165.0,121.0,1.0,989.0,1,1,7.691891891891892,-2.1129943502824857,3.8926503340757237,2018,7,11,0,0,0,0,0,0,0,0,1,0,0,0
701,652.0,11.0,703.0,802.0,25.0,849,827.0,0.0,0.0,168.0,155.0,119.0,1.0,723.0,0,0,1.8,6.559837728194726,5.238848337388483,2018,12,28,0,0,1,0,0,0,0,0,0,0,0,0
1805,1905.0,17.0,1922.0,2237.0,2.0,2205,2239.0,0.0,0.0,180.0,154.0,135.0,1.0,1208.0,2,2,5.0594059405940595,7.389830508474576,8.433741351782864,2019,12,14,0,0,0,0,0,1,0,0,1,0,0,0
1711,1702.0,7.0,1709.0,1804.0,16.0,1839,1820.0,0.0,0.0,88.0,78.0,55.0,1.0,305.0,2,3,7.486486486486487,1.1483253588516746,8.433741351782864,2019,1,28,0,0,0,0,0,1,0,0,1,0,0,0
1855,1855.0,10.0,1905.0,2005.0,3.0,2015,2008.0,0.0,0.0,80.0,73.0,60.0,1.0,436.0,2,3,9.729411764705882,-2.0985915492957745,4.019512195121951,2019,5,19,0,0,0,0,0,1,0,0,1,0,0,0
2039,2038.0,46.0,2124.0,6.0,8.0,2350,14.0,0.0,0.0,131.0,156.0,102.0,1.0,731.0,2,2,7.691891891891892,-0.040169133192389,5.238848337388483,2019,6,26,0,0,1,0,0,0,0,0,0,0,0,0
1825,1822.0,8.0,1830.0,1926.0,3.0,1945,1929.0,0.0,0.0,80.0,67.0,56.0,1.0,387.0,2,3,-2.7777777777777777,5.541666666666667,4.019512195121951,2019,7,12,0,0,0,0,0,1,0,0,0,0,0,1
710,709.0,12.0,721.0,940.0,7.0,946,947.0,0.0,0.0,96.0,98.0,79.0,1.0,484.0,0,0,6.291666666666667,-0.040169133192389,3.8926503340757237,2018,12,14,0,0,1,0,0,0,0,0,1,0,0,0
1533,1531.0,17.0,1548.0,1847.0,13.0,1914,1900.0,0.0,0.0,161.0,149.0,119.0,1.0,989.0,1,3,-3.095890410958904,6.182608695652174,5.238848337388483,2018,9,11,0,0,0,0,0,1,0,0,1,0,0,0
2130,2129.0,12.0,2141.0,2214.0,9.0,2230,2223.0,0.0,0.0,60.0,54.0,33.0,1.0,192.0,3,2,5.0594059405940595,-5.0,8.433741351782864,2018,6,26,0,0,0,0,0,1,0,0,0,0,0,1
2006,1956.0,8.0,2004.0,2203.0,11.0,2249,2214.0,0.0,0.0,163.0,138.0,119.0,1.0,957.0,2,2,11.520361990950226,6.617142857142857,16.61875,2018,10,30,0,0,1,0,0,0,0,0,0,0,0,1
1933,1931.0,10.0,1941.0,2117.0,6.0,2145,2123.0,0.0,0.0,132.0,112.0,96.0,1.0,712.0,2,2,2.8823529411764706,-0.040169133192389,3.8926503340757237,2019,6,6,0,0,0,0,0,0,0,0,1,0,0,0
1335,1326.0,16.0,1342.0,1703.0,6.0,1730,1709.0,0.0,0.0,175.0,163.0,141.0,1.0,1183.0,1,3,7.486486486486487,5.853982300884955,3.8926503340757237,2019,2,1,0,0,1,0,0,0,0,0,0,0,0,1
1301,1258.0,16.0,1314.0,1540.0,8.0,1608,1548.0,0.0,0.0,127.0,110.0,86.0,1.0,640.0,1,1,-6.0,0.8680555555555556,5.238848337388483,2019,6,24,0,0,1,0,0,0,0,0,0,0,0,1
1240,1228.0,13.0,1241.0,1327.0,8.0,1409,1335.0,0.0,0.0,89.0,67.0,46.0,1.0,195.0,1,1,12.153846153846153,5.853982300884955,3.8926503340757237,2018,1,28,0,0,1,0,0,0,0,0,1,0,0,0
