crs_dep_time,crs_arr_time,crs_elapsed_time,flights,distance,orig_weather_categ,dest_weather_categ,year,month,day,dep_time_of_day,arr_time_of_day,orig_region,dest_region,mean_arr_delay_orig_airport,mean_arr_delay_dest_airport,mean_arr_delay_carrier
801,850,109.0,1.0,533.0,0,0,2018,12,16,0,0,0,0,-1.6527777777777777,7.986149584487535,8.24934929724102
610,847,97.0,1.0,350.0,0,1,2019,7,9,0,0,1,1,-3.32,0.8445945945945946,5.078223270440252
855,1049,114.0,1.0,489.0,1,0,2019,5,5,0,0,2,2,7.851851851851852,5.9855072463768115,3.8531746031746033
1300,1650,170.0,1.0,1120.0,2,2,2019,1,31,2,2,3,1,8.521739130434783,3.1363636363636362,5.078223270440252
1210,1320,70.0,1.0,207.0,3,1,2019,11,26,2,2,3,2,11.366071428571429,4.2,3.8531746031746033
845,915,90.0,1.0,420.0,1,1,2018,8,19,0,0,0,0,24.75,7.986149584487535,8.24934929724102
620,744,84.0,1.0,402.0,0,0,2018,3,5,0,0,2,1,20.25,-0.5096153846153846,5.078223270440252
1835,2120,105.0,1.0,612.0,1,0,2018,10,1,3,1,1,1,2.4909090909090907,0.3163265306122449,3.9402271368798565
1120,1249,89.0,1.0,313.0,0,3,2019,3,3,0,2,4,0,30.0,7.986149584487535,8.24934929724102
2135,20,105.0,1.0,584.0,0,1,2019,8,15,1,1,3,1,5.879310344827586,0.8445945945945946,3.9402271368798565
705,756,111.0,1.0,408.0,1,0,2018,2,21,0,0,3,3,8.838709677419354,5.432558139534883,3.8531746031746033
1242,1340,58.0,1.0,141.0,0,0,2018,7,31,2,2,5,0,-10.75,7.986149584487535,8.24934929724102
1335,1526,111.0,1.0,524.0,3,2,2019,4,13,2,2,5,4,10.992424242424242,-5.125,8.24934929724102
1123,1250,87.0,1.0,236.0,3,0,2019,4,2,0,2,5,5,5.15566037735849,12.547231270358306,8.24934929724102
1830,2000,150.0,1.0,773.0,0,2,2018,9,26,3,3,2,2,7.961538461538462,6.31640625,8.24934929724102
1310,1457,107.0,1.0,561.0,3,2,2018,2,15,2,2,6,3,7.569148936170213,65.0,5.078223270440252
1355,1453,118.0,1.0,522.0,0,1,2018,3,24,2,2,4,5,-6.206896551724138,5.147465437788019,8.24934929724102
2224,2353,89.0,1.0,373.0,0,0,2019,6,25,1,1,2,2,2.3117647058823527,24.59016393442623,3.8531746031746033
1320,1605,105.0,1.0,546.0,0,0,2019,5,9,2,2,7,0,6.45,-2.1129943502824857,3.8531746031746033
1820,1920,60.0,1.0,88.0,1,1,2018,11,14,3,3,2,1,6.201438848920863,-4.357142857142857,5.078223270440252
1650,1820,90.0,1.0,369.0,1,0,2018,10,14,2,3,8,6,0.2987012987012987,5.1256830601092895,3.9402271368798565
845,1401,196.0,1.0,1264.0,0,1,2018,6,11,0,2,5,7,3.3743589743589744,6.486486486486487,5.078223270440252
600,1155,235.0,1.0,1660.0,0,0,2019,5,6,0,0,7,8,3.3659574468085105,5.974789915966387,9.975708502024291
700,758,58.0,1.0,143.0,0,0,2018,6,3,0,0,2,1,45.0,-0.040169133192389,3.8531746031746033
1420,1510,50.0,1.0,93.0,3,0,2019,5,22,2,2,7,5,3.3659574468085105,-3.5,0.2486865148861646
2009,2120,71.0,1.0,258.0,3,2,2018,4,16,3,1,3,3,8.521739130434783,8.241379310344827,5.078223270440252
530,654,84.0,1.0,282.0,0,2,2018,3,29,0,0,8,1,-7.8,0.8445945945945946,5.078223270440252
