fl_date,city,count,weather_categ
2018-10-25,"New York, NY",7,sunny
2019-07-10,"Chicago, IL",7,rain
2019-10-02,"Chicago, IL",7,rain
2019-07-01,"Chicago, IL",7,cloudy
2019-11-23,"Denver, CO",7,sunny
2018-08-28,"Chicago, IL",7,rain
2019-07-09,"Atlanta, GA",7,rain
2018-09-17,"Chicago, IL",7,sunny
2018-10-03,"Chicago, IL",6,rain
2018-04-11,"Chicago, IL",6,cloudy
2018-11-09,"Chicago, IL",6,snow & rain
2018-04-01,"Chicago, IL",6,cloudy
2019-08-07,"Chicago, IL",6,sunny
2019-04-18,"Chicago, IL",6,rain
2018-10-17,"Chicago, IL",5,sunny
2018-01-09,"Chicago, IL",5,cloudy
2018-04-03,"Washington, DC",5,cloudy
2019-05-25,"Houston, TX",5,sunny
2019-06-17,"Atlanta, GA",5,rain
2019-01-10,"New York, NY",5,cloudy
2018-11-08,"Denver, CO",5,snow
2018-08-07,"New York, NY",5,sunny
2019-04-17,"Atlanta, GA",5,sunny
2019-04-05,"Charlotte, NC",5,rain
2018-02-12,"Denver, CO",5,cloudy
2019-04-16,"Denver, CO",5,sunny
2018-09-18,"Chicago, IL",5,rain
2019-03-21,"Chicago, IL",5,rain
2018-10-07,"Atlanta, GA",5,sunny
2019-08-07,"New York, NY",5,rain
2018-10-04,"Chicago, IL",5,rain
2018-05-20,"Chicago, IL",5,rain
2018-09-28,"Chicago, IL",5,cloudy
2018-08-23,"Chicago, IL",5,sunny
2018-11-13,"Dallas/Fort Worth, TX",5,cloudy
2018-06-25,"Chicago, IL",5,cloudy
2018-06-27,"Atlanta, GA",5,rain
2019-12-15,"Chicago, IL",5,cloudy
2019-01-17,"Chicago, IL",5,cloudy
2019-08-16,"Chicago, IL",5,rain
2019-07-15,"Chicago, IL",5,sunny
2018-11-07,"Chicago, IL",5,cloudy
2019-04-28,"New York, NY",5,rain
2018-10-27,"Houston, TX",5,sunny
2019-04-28,"Atlanta, GA",5,cloudy
2018-09-23,"Seattle, WA",5,cloudy
2018-02-23,"Chicago, IL",5,rain
2019-10-02,"New York, NY",5,cloudy
2019-10-28,"Chicago, IL",5,cloudy
2019-10-28,"Atlanta, GA",5,sunny
2019-07-23,"Chicago, IL",5,sunny
2018-08-20,"Atlanta, GA",5,rain
2019-10-11,"Dallas/Fort Worth, TX",5,rain
2018-07-31,"Chicago, IL",5,cloudy
2018-12-12,"Chicago, IL",5,cloudy
2019-10-10,"Chicago, IL",5,rain
2018-04-13,"Atlanta, GA",4,sunny
2019-09-09,"Chicago, IL",4,cloudy
2019-09-12,"Atlanta, GA",4,sunny
2019-04-28,"Dallas/Fort Worth, TX",4,sunny
2018-07-04,"Los Angeles, CA",4,sunny
2018-05-29,"New York, NY",4,cloudy
2019-01-03,"Los Angeles, CA",4,sunny
2019-12-23,"Minneapolis, MN",4,sunny
2018-03-22,"Minneapolis, MN",4,cloudy
2018-02-25,"Detroit, MI",4,rain
2018-11-21,"Atlanta, GA",4,sunny
2019-03-02,"Dallas/Fort Worth, TX",4,rain
2019-04-26,"San Francisco, CA",4,cloudy
2019-12-14,"Houston, TX",4,sunny
2019-06-12,"Chicago, IL",4,rain
2018-02-27,"Denver, CO",4,sunny
2019-05-16,"Chicago, IL",4,cloudy
2018-03-20,"Chicago, IL",4,cloudy
2018-01-25,"Chicago, IL",4,sunny
2018-01-25,"Charlotte, NC",4,sunny
2018-06-28,"Detroit, MI",4,cloudy
2019-09-05,"Dallas/Fort Worth, TX",4,sunny
2018-02-28,"Los Angeles, CA",4,sunny
2019-08-12,"Chicago, IL",4,rain
2018-08-29,"Denver, CO",4,sunny
2019-01-01,"Dallas/Fort Worth, TX",4,cloudy
2019-10-26,"Denver, CO",4,sunny
2018-08-10,"Chicago, IL",4,sunny
2018-07-13,"Chicago, IL",4,sunny
2019-04-01,"Washington, DC",4,sunny
2018-04-25,"Atlanta, GA",4,cloudy
2018-05-16,"Denver, CO",4,sunny
2019-09-20,"Chicago, IL",4,rain
2018-05-17,"New York, NY",4,rain
