fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,orig_weather_categ,dest_weather_categ
2018-07-10,WN,WN,WN,2212,WN,N958WN,2212,14683,SAT,"San Antonio, TX",10693,BNA,"Nashville, TN",705,702.0,-3.0,13.0,715.0,907.0,6.0,915,913.0,-2.0,0.0,,0.0,N,130.0,131.0,112.0,1.0,822.0,,,,,,,,,,cloudy,cloudy
2019-10-10,UA,UA,UA,206,UA,N68811,206,13930,ORD,"Chicago, IL",13204,MCO,"Orlando, FL",800,757.0,-3.0,20.0,817.0,1131.0,8.0,1148,1139.0,-9.0,0.0,,0.0,N,168.0,162.0,134.0,1.0,1005.0,,,,,,,,,,rain,rain
2019-07-18,AA,AA_CODESHARE,AA,4221,MQ,N694AE,4221,12891,LAW,"Lawton/Fort Sill, OK",11298,DFW,"Dallas/Fort Worth, TX",1034,1040.0,6.0,17.0,1057.0,1125.0,13.0,1130,1138.0,8.0,0.0,,0.0,N,56.0,58.0,28.0,1.0,140.0,,,,,,,,,,sunny,sunny
2018-11-25,UA,UA_CODESHARE,UA,4822,ZW,,4822,14685,SAV,"Savannah, GA",13930,ORD,"Chicago, IL",2200,,,,,,,2327,,,1.0,B,0.0,N,147.0,,,1.0,773.0,,,,,,,,,,cloudy,snow & rain
2018-10-24,DL,DL,DL,957,DL,N693DL,957,11433,DTW,"Detroit, MI",14908,SNA,"Santa Ana, CA",841,840.0,-1.0,45.0,925.0,1056.0,11.0,1039,1107.0,28.0,0.0,,0.0,N,298.0,327.0,271.0,1.0,1960.0,0.0,0.0,28.0,0.0,0.0,,,,,sunny,sunny
2019-06-08,AA,AA_CODESHARE,AA,3560,MQ,N250NN,3560,14524,RIC,"Richmond, VA",11298,DFW,"Dallas/Fort Worth, TX",1149,1147.0,-2.0,19.0,1206.0,1342.0,11.0,1400,1353.0,-7.0,0.0,,0.0,N,191.0,186.0,156.0,1.0,1158.0,,,,,,,,,,rain,sunny
2018-01-29,AA,AA,AA,1769,AA,N830AW,1769,11057,CLT,"Charlotte, NC",15016,STL,"St. Louis, MO",1436,1435.0,-1.0,24.0,1459.0,1530.0,3.0,1534,1533.0,-1.0,0.0,,0.0,N,118.0,118.0,91.0,1.0,575.0,,,,,,,,,,rain,cloudy
2019-08-14,G4,G4,G4,2203,G4,252NV,2203,10135,ABE,"Allentown/Bethlehem/Easton, PA",14761,SFB,"Sanford, FL",1844,1923.0,39.0,8.0,1931.0,2127.0,7.0,2105,2134.0,29.0,0.0,,0.0,N,141.0,131.0,116.0,1.0,882.0,0.0,0.0,0.0,0.0,29.0,,,,,rain,rain
2019-01-28,AA,AA,AA,796,AA,N114UW,796,15376,TUS,"Tucson, AZ",11298,DFW,"Dallas/Fort Worth, TX",735,724.0,-11.0,27.0,751.0,1030.0,11.0,1050,1041.0,-9.0,0.0,,0.0,N,135.0,137.0,99.0,1.0,813.0,,,,,,,,,,sunny,sunny
2018-03-05,AA,AA,AA,1861,AA,N835AW,1861,11057,CLT,"Charlotte, NC",14492,RDU,"Raleigh/Durham, NC",1759,1754.0,-5.0,15.0,1809.0,1837.0,5.0,1854,1842.0,-12.0,0.0,,0.0,N,55.0,48.0,28.0,1.0,130.0,,,,,,,,,,sunny,sunny
2019-03-19,UA,UA,UA,740,UA,N38403,740,13495,MSY,"New Orleans, LA",12266,IAH,"Houston, TX",1558,1556.0,-2.0,23.0,1619.0,1729.0,6.0,1725,1735.0,10.0,0.0,,0.0,N,87.0,99.0,70.0,1.0,305.0,,,,,,,,,,sunny,sunny
2019-02-24,DL,DL,DL,2007,DL,N993DL,2007,12448,JAN,"Jackson/Vicksburg, MS",10397,ATL,"Atlanta, GA",600,555.0,-5.0,12.0,607.0,756.0,4.0,818,800.0,-18.0,0.0,,0.0,N,78.0,65.0,49.0,1.0,341.0,,,,,,,,,,sunny,rain
2018-02-20,B6,B6,B6,417,B6,N348JB,417,10721,BOS,"Boston, MA",12478,JFK,"New York, NY",1504,1517.0,13.0,13.0,1530.0,1619.0,6.0,1624,1625.0,1.0,0.0,,0.0,N,80.0,68.0,49.0,1.0,187.0,,,,,,,,,,cloudy,cloudy
2019-03-13,AA,AA_CODESHARE,AA,9390,YX,N418YX,9390,11267,DAY,"Dayton, OH",14100,PHL,"Philadelphia, PA",1818,1808.0,-10.0,10.0,1818.0,1927.0,8.0,1959,1935.0,-24.0,0.0,,0.0,N,101.0,87.0,69.0,1.0,477.0,,,,,,,,,,cloudy,sunny
2019-03-23,UA,UA,UA,2007,UA,N433UA,2007,13495,MSY,"New Orleans, LA",11618,EWR,"Newark, NJ",636,633.0,-3.0,13.0,646.0,1013.0,6.0,1026,1019.0,-7.0,0.0,,0.0,N,170.0,166.0,147.0,1.0,1167.0,,,,,,,,,,sunny,sunny
