mkt_unique_carrier,origin,dest,crs_dep_time,crs_arr_time,arr_delay,crs_elapsed_time,flights,distance,orig_weather_categ,dest_weather_categ,year,month,day,dep_time_of_day,arr_time_of_day,orig_region,dest_region
WN,SAT,BNA,705,915,-2.0,130.0,1.0,822.0,cloudy,cloudy,2018,7,10,0,0,West-South Central,East-South Central
UA,ORD,MCO,800,1148,-9.0,168.0,1.0,1005.0,rain,rain,2019,10,10,0,0,East-North Central,South-Atlantic
AA,LAW,DFW,1034,1130,8.0,56.0,1.0,140.0,sunny,sunny,2019,7,18,0,0,West-South Central,West-South Central
UA,SAV,ORD,2200,2327,0.0,147.0,1.0,773.0,cloudy,snow & rain,2018,11,25,1,1,South-Atlantic,East-North Central
DL,DTW,SNA,841,1039,28.0,298.0,1.0,1960.0,sunny,sunny,2018,10,24,0,0,East-North Central,Pacific
AA,RIC,DFW,1149,1400,-7.0,191.0,1.0,1158.0,rain,sunny,2019,6,8,0,2,Mid-Atlantic,West-South Central
AA,CLT,STL,1436,1534,-1.0,118.0,1.0,575.0,rain,cloudy,2018,1,29,2,2,South-Atlantic,West-North Central
G4,ABE,SFB,1844,2105,29.0,141.0,1.0,882.0,rain,rain,2019,8,14,3,1,Mid-Atlantic,South-Atlantic
AA,TUS,DFW,735,1050,-9.0,135.0,1.0,813.0,sunny,sunny,2019,1,28,0,0,South-West,West-South Central
AA,CLT,RDU,1759,1854,-12.0,55.0,1.0,130.0,sunny,sunny,2018,3,5,3,3,South-Atlantic,South-Atlantic
UA,MSY,IAH,1558,1725,10.0,87.0,1.0,305.0,sunny,sunny,2019,3,19,2,3,West-South Central,West-South Central
DL,JAN,ATL,600,818,-18.0,78.0,1.0,341.0,sunny,rain,2019,2,24,0,0,East-South Central,South-Atlantic
B6,BOS,JFK,1504,1624,1.0,80.0,1.0,187.0,cloudy,cloudy,2018,2,20,2,2,New England,Mid-Atlantic
AA,DAY,PHL,1818,1959,-24.0,101.0,1.0,477.0,cloudy,sunny,2019,3,13,3,3,East-North Central,Mid-Atlantic
UA,MSY,EWR,636,1026,-7.0,170.0,1.0,1167.0,sunny,sunny,2019,3,23,0,0,West-South Central,Mid-Atlantic
AA,PHL,IND,1232,1438,-12.0,126.0,1.0,588.0,sunny,sunny,2018,12,7,2,2,Mid-Atlantic,East-North Central
WN,TPA,ATL,1905,2035,2.0,90.0,1.0,406.0,rain,sunny,2018,7,9,3,3,South-Atlantic,South-Atlantic
AA,SGF,ORD,734,920,20.0,106.0,1.0,438.0,sunny,sunny,2018,1,6,0,0,West-North Central,East-North Central
DL,RDU,EWR,2010,2152,63.0,102.0,1.0,416.0,rain,rain,2018,2,16,3,1,South-Atlantic,Mid-Atlantic
DL,LAN,MSP,710,759,-22.0,109.0,1.0,455.0,rain,rain,2019,5,9,0,0,East-North Central,West-North Central
WN,LAX,OAK,1015,1145,29.0,90.0,1.0,337.0,sunny,sunny,2018,5,10,0,0,Pacific,Pacific
AS,BOI,PDX,1900,1930,-15.0,90.0,1.0,344.0,sunny,sunny,2019,3,3,3,3,North-West,Pacific
DL,ATL,CAE,1738,1835,-10.0,57.0,1.0,192.0,rain,rain,2019,11,8,3,3,South-Atlantic,South-Atlantic
DL,SLC,SJC,826,919,-7.0,113.0,1.0,584.0,sunny,sunny,2019,8,28,0,0,South-West,Pacific
WN,BOI,LAS,1150,1230,8.0,100.0,1.0,519.0,sunny,sunny,2018,11,7,0,2,North-West,South-West
AA,DCA,PIT,1717,1826,28.0,69.0,1.0,204.0,cloudy,snow,2019,12,4,3,3,Mid-Atlantic,Mid-Atlantic
WN,SAN,PHX,1355,1615,1.0,80.0,1.0,304.0,rain,rain,2019,2,5,2,2,Pacific,South-West
AA,DCA,MIA,1353,1649,-20.0,176.0,1.0,919.0,cloudy,sunny,2019,5,27,2,2,Mid-Atlantic,South-Atlantic
UA,TPA,EWR,1540,1822,-5.0,162.0,1.0,997.0,sunny,rain,2018,10,29,2,3,South-Atlantic,Mid-Atlantic
UA,ICT,DEN,630,708,338.0,98.0,1.0,420.0,sunny,sunny,2018,12,18,0,0,West-North Central,South-West
AA,RIC,CLT,1106,1231,-23.0,85.0,1.0,257.0,cloudy,sunny,2018,4,1,0,2,Mid-Atlantic,South-Atlantic
AS,SNA,SJC,1720,1845,-18.0,85.0,1.0,342.0,sunny,sunny,2018,12,26,3,3,Pacific,Pacific
UA,IAH,CVG,1220,1549,7.0,149.0,1.0,871.0,rain,sunny,2018,7,12,2,2,West-South Central,East-North Central
DL,LAS,SEA,1125,1407,-15.0,162.0,1.0,867.0,sunny,sunny,2018,11,18,0,2,South-West,Pacific
AA,PHL,ISP,1230,1330,37.0,60.0,1.0,130.0,rain,rain,2019,3,22,2,2,Mid-Atlantic,Mid-Atlantic
AA,TLH,CLT,1533,1710,7.0,97.0,1.0,386.0,cloudy,sunny,2019,2,5,2,3,South-Atlantic,South-Atlantic
B6,EWR,PBI,1156,1446,-11.0,170.0,1.0,1023.0,sunny,sunny,2018,5,11,0,2,Mid-Atlantic,South-Atlantic
B6,BOS,DCA,2120,2256,-9.0,96.0,1.0,399.0,sunny,sunny,2019,4,4,1,1,New England,Mid-Atlantic
UA,AUS,LAX,759,943,-33.0,224.0,1.0,1242.0,sunny,sunny,2018,12,23,0,0,West-South Central,Pacific
UA,ORD,HPN,1410,1726,-6.0,136.0,1.0,738.0,rain,rain,2019,6,25,2,3,East-North Central,Mid-Atlantic
WN,MCO,SAT,1400,1600,3.0,180.0,1.0,1041.0,rain,sunny,2018,12,2,2,2,South-Atlantic,West-South Central
AA,CHO,CLT,1228,1348,15.0,80.0,1.0,245.0,sunny,sunny,2018,7,8,2,2,Mid-Atlantic,South-Atlantic
UA,OKC,ORD,1813,2025,10.0,132.0,1.0,693.0,sunny,sunny,2019,9,5,3,3,West-South Central,East-North Central
AA,OKC,DFW,1224,1328,-12.0,64.0,1.0,175.0,sunny,sunny,2019,6,28,2,2,West-South Central,West-South Central
WN,BNA,DTW,1200,1430,16.0,90.0,1.0,456.0,sunny,rain,2019,4,28,2,2,East-South Central,East-North Central
WN,BUR,SJC,1705,1820,-15.0,75.0,1.0,296.0,sunny,cloudy,2019,9,18,3,3,Pacific,Pacific
WN,OKC,HOU,540,705,0.0,85.0,1.0,419.0,sunny,cloudy,2018,12,29,0,0,West-South Central,West-South Central
UA,DEN,SAN,805,922,119.0,137.0,1.0,853.0,sunny,cloudy,2019,8,6,0,0,South-West,Pacific
B6,HPN,FLL,1830,2130,139.0,180.0,1.0,1097.0,sunny,sunny,2018,4,11,3,1,Mid-Atlantic,South-Atlantic
AS,JFK,SEA,900,1230,-41.0,390.0,1.0,2422.0,sunny,sunny,2019,1,15,0,2,Mid-Atlantic,Pacific
AS,MFR,SEA,1305,1435,0.0,90.0,1.0,352.0,rain,rain,2019,4,19,2,2,Pacific,Pacific
DL,ATL,PIT,1050,1230,-4.0,100.0,1.0,526.0,rain,cloudy,2019,2,16,0,2,South-Atlantic,Mid-Atlantic
AA,BOS,PHL,530,705,-19.0,95.0,1.0,280.0,cloudy,cloudy,2018,6,6,0,0,New England,Mid-Atlantic
UA,VEL,DEN,1005,1123,-17.0,78.0,1.0,259.0,sunny,sunny,2019,6,14,0,0,South-West,South-West
DL,TUL,ATL,1235,1530,-5.0,115.0,1.0,674.0,rain,sunny,2018,10,7,2,2,West-South Central,South-Atlantic
UA,SCE,ORD,550,648,-19.0,118.0,1.0,528.0,rain,sunny,2018,8,11,0,0,Mid-Atlantic,East-North Central
WN,BNA,MCO,1540,1825,-9.0,105.0,1.0,616.0,rain,sunny,2018,4,6,2,3,East-South Central,South-Atlantic
DL,MCO,DTW,1205,1448,-6.0,163.0,1.0,957.0,rain,sunny,2019,8,1,2,2,South-Atlantic,East-North Central
UA,EWR,ALB,845,1000,-12.0,75.0,1.0,143.0,rain,sunny,2019,8,23,0,0,Mid-Atlantic,Mid-Atlantic
DL,MCO,BOS,1614,1904,-9.0,170.0,1.0,1121.0,cloudy,sunny,2019,1,22,2,3,South-Atlantic,New England
AA,PHL,RIC,2025,2138,59.0,73.0,1.0,198.0,rain,cloudy,2018,3,28,3,1,Mid-Atlantic,Mid-Atlantic
AA,RDU,LAX,1700,1928,-35.0,328.0,1.0,2239.0,sunny,cloudy,2018,10,2,3,3,South-Atlantic,Pacific
DL,BNA,BOS,1415,1757,-5.0,162.0,1.0,942.0,cloudy,sunny,2019,10,15,2,3,East-South Central,New England
AA,DFW,LGA,1030,1502,-15.0,212.0,1.0,1389.0,sunny,rain,2018,8,4,0,2,West-South Central,Mid-Atlantic
UA,SFO,DEN,1554,1925,28.0,151.0,1.0,967.0,cloudy,sunny,2019,1,7,2,3,Pacific,South-West
AA,DFW,EGE,1220,1330,10.0,130.0,1.0,721.0,sunny,cloudy,2018,7,20,2,2,West-South Central,South-West
