,departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,airline_id,unique_carrier_name,region,carrier,carrier_name,carrier_group,carrier_group_new,origin_airport_id,origin_city_market_id,origin,origin_city_name,origin_country,origin_country_name,dest_airport_id,dest_city_market_id,dest,dest_city_name,dest_country,dest_country_name,aircraft_group,aircraft_type,aircraft_config,year,month,distance_group,class,data_source
0,3.0,3.0,125448.0,537.0,486.0,0.0,0.0,1783.0,818.0,694.0,UA,19977,United Air Lines Inc.,L,UA,United Air Lines Inc.,3,3,11618,31703,EWR,"Newark, NJ",US,United States,10312,30312,ANU,"St. Johns, Antigua and Barbuda",AG,Antigua and Barbuda,6,888,1,2019,4,4,F,IU
1,3.0,3.0,52830.0,210.0,172.0,0.0,0.0,692.0,386.0,287.0,G7,20500,GoJet Airlines LLC d/b/a United Express,D,G7,GoJet Airlines LLC d/b/a United Express,2,2,11003,31003,CID,"Cedar Rapids/Iowa City, IA",US,United States,11292,30325,DEN,"Denver, CO",US,United States,6,631,1,2016,3,2,F,DU
2,1.0,1.0,12240.0,50.0,50.0,0.0,0.0,399.0,84.0,74.0,OH,20397,PSA Airlines Inc.,D,OH,PSA Airlines Inc.,2,2,11278,30852,DCA,"Washington, DC",US,United States,10721,30721,BOS,"Boston, MA",US,United States,6,629,1,2018,5,1,F,DU
3,71.0,71.0,2456600.0,10153.0,9185.0,17409.0,0.0,991.0,10947.0,9702.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,11292,30325,DEN,"Denver, CO",US,United States,14057,34057,PDX,"Portland, OR",US,United States,6,612,1,2019,9,2,F,DU
4,51.0,49.0,599760.0,2450.0,2072.0,575.0,0.0,396.0,4267.0,3246.0,ZW,20046,Air Wisconsin Airlines Corp,D,ZW,Air Wisconsin Airlines Corp,2,2,11996,31871,GSP,"Greer, SC",US,United States,11278,30852,DCA,"Washington, DC",US,United States,6,629,1,2015,6,1,F,DU
5,0.0,6.0,1555301.0,0.0,0.0,1410433.0,0.0,3799.0,2723.0,2547.0,PO,20100,Polar Air Cargo Airways,P,PO,Polar Air Cargo Airways,3,3,12277,31945,ICN,"Seoul, South Korea",KR,South Korea,10299,30299,ANC,"Anchorage, AK",US,United States,8,819,1,2017,10,8,P,IU
6,0.0,5.0,451295.0,1360.0,1251.0,0.0,0.0,2993.0,2052.0,1842.0,X9,20377,Omni Air International LLC,I,X9,Omni Air Express,2,2,11435,31435,DUB,"Dublin, Ireland",IE,Ireland,10721,30721,BOS,"Boston, MA",US,United States,6,626,1,2015,4,6,L,IU
7,0.0,2.0,99520.0,144.0,50.0,0.0,0.0,404.0,145.0,121.0,DL,19790,Delta Air Lines Inc.,D,DL,Delta Air Lines Inc.,3,3,13204,31454,MCO,"Orlando, FL",US,United States,10397,30397,ATL,"Atlanta, GA",US,United States,6,622,1,2018,2,1,L,DU
8,35.0,31.0,1853822.0,6603.0,5549.0,1015.0,2003.0,1005.0,5060.0,4303.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,13204,31454,MCO,"Orlando, FL",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,623,1,2017,9,3,F,DU
9,81.0,80.0,2768000.0,11440.0,8956.0,10037.0,0.0,590.0,8634.0,7009.0,WN,19393,Southwest Airlines Co.,D,WN,Southwest Airlines Co.,3,3,14869,34614,SLC,"Salt Lake City, UT",US,United States,12892,32575,LAX,"Los Angeles, CA",US,United States,6,612,1,2019,8,2,F,DU
10,0.0,1.0,34340.0,129.0,125.0,0.0,0.0,1177.0,176.0,157.0,SY,20422,Sun Country Airlines d/b/a MN Airlines,D,SY,Sun Country Airlines d/b/a MN Airlines,2,2,12206,32206,HRL,"Harlingen/San Benito, TX",US,United States,10590,30590,IFP,"Bullhead City, AZ",US,United States,6,612,1,2018,7,3,L,DU
11,174.0,173.0,3719846.0,13144.0,11619.0,0.0,0.0,740.0,22968.0,17442.0,9E,20363,Endeavor Air Inc.,D,9E,Endeavor Air Inc.,2,2,13930,30977,ORD,"Chicago, IL",US,United States,12478,31703,JFK,"New York, NY",US,United States,6,638,1,2016,10,2,F,DU
12,87.0,81.0,1546452.0,5589.0,3659.0,0.0,0.0,238.0,5895.0,3653.0,YX,20452,Republic Airline,D,YX,Republic Airline,3,3,10397,30397,ATL,"Atlanta, GA",US,United States,12124,32124,HHH,"Hilton Head, SC",US,United States,6,677,1,2019,9,1,F,DU
13,4.0,4.0,423932.0,0.0,0.0,302458.0,0.0,883.0,489.0,414.0,FX,20107,Federal Express Corporation,D,FX,Federal Express Corporation,3,3,13244,33244,MEM,"Memphis, TN",US,United States,10135,30135,ABE,"Allentown/Bethlehem/Easton, PA",US,United States,6,691,2,2017,2,2,G,DU
14,30.0,16.0,301800.0,1216.0,783.0,130.0,0.0,679.0,2000.0,1652.0,QX,19687,Horizon Air,D,QX,Horizon Air,2,2,14747,30559,SEA,"Seattle, WA",US,United States,14771,32457,SFO,"San Francisco, CA",US,United States,6,673,1,2019,9,2,F,DU
15,5.0,5.0,714634.0,1830.0,1469.0,53757.0,2473.0,2419.0,1788.0,1523.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,12264,30852,IAD,"Washington, DC",US,United States,14771,32457,SFO,"San Francisco, CA",US,United States,6,637,1,2018,8,5,F,DU
16,0.0,1.0,2000.0,8.0,5.0,0.0,0.0,551.0,95.0,77.0,0WQ,21352,Avjet Corporation,D,0WQ,Avjet Corporation,1,1,10800,32575,BUR,"Burbank, CA",US,United States,12018,32018,GUP,"Gallup, NM",US,United States,6,684,1,2018,3,2,L,DU
17,1.0,1.0,32105.0,118.0,62.0,0.0,0.0,1024.0,182.0,162.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,11292,30325,DEN,"Denver, CO",US,United States,14747,30559,SEA,"Seattle, WA",US,United States,6,612,1,2016,10,3,F,DU
18,0.0,1.0,3400.0,9.0,0.0,0.0,0.0,80.0,30.0,27.0,H6,20336,Hageland Aviation Service,D,H6,Hageland Aviation Service,1,5,14804,34804,SHG,"Shungnak, AK",US,United States,15785,30020,WLK,"Selawik, AK",US,United States,4,416,3,2019,9,1,L,DU
19,11.0,11.0,491712.0,1969.0,1163.0,455.0,3756.0,1482.0,2400.0,2171.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,14683,33214,SAT,"San Antonio, TX",US,United States,14771,32457,SFO,"San Francisco, CA",US,United States,6,634,1,2016,8,3,F,DU
20,200.0,100.0,180000.0,900.0,503.0,0.0,0.0,114.0,5220.0,4080.0,9K,20253,Cape Air,D,9K,Cape Air,1,6,10967,30967,CGI,"Cape Girardeau, MO",US,United States,15016,31123,STL,"St. Louis, MO",US,United States,1,125,1,2015,9,1,F,DU
