city,state_id,lat,lng,timezone,city_state
New York,NY,40.6943,-73.9249,America/New_York,"New York, NY"
Los Angeles,CA,34.1141,-118.4068,America/Los_Angeles,"Los Angeles, CA"
Chicago,IL,41.8375,-87.6866,America/Chicago,"Chicago, IL"
Miami,FL,25.7840,-80.2101,America/New_York,"Miami, FL"
Dallas,TX,32.7935,-96.7667,America/Chicago,"Dallas, TX"
Houston,TX,29.7860,-95.3885,America/Chicago,"Houston, TX"
Philadelphia,PA,40.0077,-75.1339,America/New_York,"Philadelphia, PA"
Atlanta,GA,33.7628,-84.422,America/New_York,"Atlanta, GA"
Washington,DC,38.9047,-77.0163,America/New_York,"Washington, DC"
Boston,MA,42.3188,-71.0852,America/New_York,"Boston, MA"
Phoenix,AZ,33.5722,-112.0892,America/Phoenix,"Phoenix, AZ"
Detroit,MI,42.3834,-83.1024,America/Detroit,"Detroit, MI"
San Francisco,CA,37.7558,-122.4449,America/Los_Angeles,"San Francisco, CA"
Seattle,WA,47.6211,-122.3244,America/Los_Angeles,"Seattle, WA"
San Diego,CA,32.8313,-117.1222,America/Los_Angeles,"San Diego, CA"
Minneapolis,MN,44.9635,-93.2678,America/Chicago,"Minneapolis, MN"
Tampa,FL,27.9945,-82.4447,America/New_York,"Tampa, FL"
Brooklyn,NY,40.6501,-73.9496,America/New_York,"Brooklyn, NY"
Denver,CO,39.7620,-104.8758,America/Denver,"Denver, CO"
Queens,NY,40.7498,-73.7976,America/New_York,"Queens, NY"
Baltimore,MD,39.3051,-76.6144,America/New_York,"Baltimore, MD"
Las Vegas,NV,36.2333,-115.2654,America/Los_Angeles,"Las Vegas, NV"
St. Louis,MO,38.6359,-90.2451,America/Chicago,"St. Louis, MO"
Riverside,CA,33.9381,-117.3949,America/Los_Angeles,"Riverside, CA"
Portland,OR,45.5371,-122.65,America/Los_Angeles,"Portland, OR"
San Antonio,TX,29.4632,-98.5238,America/Chicago,"San Antonio, TX"
Sacramento,CA,38.5677,-121.4685,America/Los_Angeles,"Sacramento, CA"
San Juan,PR,18.3985,-66.061,America/Puerto_Rico,"San Juan, PR"
San Jose,CA,37.3012,-121.848,America/Los_Angeles,"San Jose, CA"
Orlando,FL,28.4773,-81.337,America/New_York,"Orlando, FL"
Cleveland,OH,41.4764,-81.6805,America/New_York,"Cleveland, OH"
Pittsburgh,PA,40.4397,-79.9763,America/New_York,"Pittsburgh, PA"
Manhattan,NY,40.7834,-73.9662,America/New_York,"Manhattan, NY"
Austin,TX,30.3005,-97.7522,America/Chicago,"Austin, TX"
Cincinnati,OH,39.1413,-84.506,America/New_York,"Cincinnati, OH"
Indianapolis,IN,39.7771,-86.1458,America/Indiana/Indianapolis,"Indianapolis, IN"
Kansas City,MO,39.1238,-94.5541,America/Chicago,"Kansas City, MO"
Columbus,OH,39.9862,-82.9855,America/New_York,"Columbus, OH"
Charlotte,NC,35.2083,-80.8303,America/New_York,"Charlotte, NC"
Virginia Beach,VA,36.7335,-76.0435,America/New_York,"Virginia Beach, VA"
Bronx,NY,40.8501,-73.8662,America/New_York,"Bronx, NY"
Milwaukee,WI,43.0642,-87.9675,America/Chicago,"Milwaukee, WI"
Providence,RI,41.8230,-71.4187,America/New_York,"Providence, RI"
Jacksonville,FL,30.3322,-81.6749,America/New_York,"Jacksonville, FL"
Salt Lake City,UT,40.7776,-111.9311,America/Denver,"Salt Lake City, UT"
Nashville,TN,36.1715,-86.7842,America/Chicago,"Nashville, TN"
Raleigh,NC,35.8324,-78.6429,America/New_York,"Raleigh, NC"
Memphis,TN,35.1087,-89.9663,America/Chicago,"Memphis, TN"
Richmond,VA,37.5295,-77.4756,America/New_York,"Richmond, VA"
Louisville,KY,38.1663,-85.6485,America/New_York,"Louisville, KY"
New Orleans,LA,30.0687,-89.9288,America/Chicago,"New Orleans, LA"
Bridgeport,CT,41.1918,-73.1954,America/New_York,"Bridgeport, CT"
Oklahoma City,OK,35.4676,-97.5136,America/Chicago,"Oklahoma City, OK"
Buffalo,NY,42.9018,-78.8487,America/New_York,"Buffalo, NY"
Hartford,CT,41.7661,-72.6834,America/New_York,"Hartford, CT"
Fort Worth,TX,32.7817,-97.3474,America/Chicago,"Fort Worth, TX"
Tucson,AZ,32.1541,-110.8787,America/Phoenix,"Tucson, AZ"
