,arr_delay
9254,-17.0
1561,-12.0
1670,-16.0
6087,0.0
6669,-11.0
5933,-11.0
8829,-19.0
7945,-14.0
3508,14.0
2002,6.0
5866,-6.0
168,4.0
2588,-1.0
5905,25.0
9529,-6.0
6384,65.0
7824,-4.0
9779,-13.0
4629,24.0
8560,14.0
9291,-5.0
6874,44.0
6521,5.0
8979,-8.0
6647,-8.0
9825,74.0
210,-11.0
5278,10.0
1919,-34.0
718,-1.0
4868,34.0
7834,-20.0
1298,-4.0
9193,-23.0
4617,-27.0
3128,-26.0
9795,13.0
3979,9.0
9924,40.0
8317,-13.0
4393,30.0
1287,-9.0
4355,-22.0
7013,34.0
3885,-19.0
5749,-7.0
9169,24.0
2407,-16.0
2013,1.0
5153,-14.0
8551,-7.0
4376,-35.0
8822,-22.0
4273,-21.0
5825,-20.0
6699,-34.0
7243,-10.0
449,-2.0
2227,-13.0
5756,-5.0
810,12.0
4180,-13.0
9000,9.0
5438,2.0
7533,-19.0
6369,22.0
8416,10.0
1477,-18.0
1790,13.0
2008,81.0
682,-7.0
2816,-30.0
9431,1.0
3774,-1.0
6495,103.0
8878,1.0
7361,-17.0
8366,33.0
7474,-1.0
46,0.0
30,-23.0
8250,0.0
6935,-2.0
1468,0.0
1665,-10.0
1416,-9.0
6480,89.0
4852,0.0
2470,93.0
4373,3.0
8524,-1.0
429,247.0
5244,22.0
2119,27.0
385,-13.0
1945,25.0
4224,-2.0
473,-15.0
2129,4.0
6556,-32.0
6998,-14.0
1055,-10.0
3274,-14.0
4961,103.0
5363,723.0
5816,8.0
811,-13.0
4573,-14.0
6137,-4.0
2388,-29.0
9648,-2.0
6225,-3.0
111,-20.0
8909,27.0
1745,21.0
7851,-26.0
1452,-6.0
319,-11.0
8593,0.0
3333,-14.0
1922,-16.0
5865,6.0
9528,-21.0
3685,-27.0
4275,-24.0
4889,-24.0
5225,-6.0
7472,-9.0
3605,178.0
1052,1.0
4156,-12.0
9676,-23.0
99,-13.0
7508,20.0
1456,-15.0
7688,0.0
4004,-8.0
6866,11.0
4509,-14.0
3299,-22.0
3799,2.0
4281,-6.0
9051,-5.0
6462,-16.0
7912,-34.0
1414,-28.0
540,-2.0
5815,2.0
8199,-13.0
3680,21.0
754,-5.0
4196,-12.0
2650,-39.0
4522,-7.0
9519,11.0
3118,-8.0
3728,-18.0
3886,0.0
7107,-8.0
8068,5.0
7325,1.0
8483,-33.0
8767,-6.0
6500,0.0
8426,3.0
7963,-14.0
601,-33.0
9249,-4.0
8919,1.0
6814,-2.0
5411,-31.0
8747,-10.0
5522,-36.0
1044,24.0
7334,92.0
1557,-4.0
3739,-21.0
3522,39.0
180,-10.0
2115,77.0
1699,-19.0
1379,-14.0
7229,-18.0
9143,-13.0
618,6.0
3181,139.0
9851,6.0
1600,-15.0
5963,12.0
1615,-14.0
5920,-7.0
9591,-18.0
3891,-16.0
2083,13.0
4574,13.0
5594,-2.0
5121,11.0
4587,-15.0
4902,-8.0
8252,-18.0
5916,-24.0
5129,13.0
8334,-5.0
1918,-25.0
8330,-13.0
5707,-23.0
5384,-23.0
6336,-14.0
2054,38.0
7612,-22.0
9209,126.0
3963,-8.0
1126,97.0
3428,-39.0
4601,89.0
3721,-2.0
2389,1.0
1322,-1.0
1603,-25.0
7224,35.0
7425,15.0
4336,-13.0
5593,-13.0
4411,-22.0
5858,20.0
9343,84.0
3991,14.0
6079,-15.0
1559,-33.0
4682,-34.0
7557,0.0
3772,-36.0
8779,107.0
3457,0.0
8383,11.0
1354,14.0
45,-15.0
9872,-9.0
748,-26.0
7917,-29.0
4241,-12.0
5628,-23.0
4657,-9.0
4238,-7.0
3460,3.0
7381,35.0
5549,-14.0
7075,1.0
5838,-25.0
8091,-14.0
5474,-24.0
3614,-14.0
7501,-10.0
7053,17.0
7367,24.0
8019,163.0
9638,211.0
9055,-15.0
664,5.0
2319,-15.0
3542,-4.0
3677,-5.0
9599,-1.0
3091,-22.0
675,55.0
8676,-21.0
4884,-12.0
